,PostalCode,Borough,Neighborhood,Latitude,Longitude
M3A,M3A,North York,Parkwoods,43.7587999,-79.3201966
M4A,M4A,North York,Victoria Village,43.732658,-79.3111892
M5A,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6607056,-79.3604569
M6A,M6A,North York,"Lawrence Manor, Lawrence Heights",43.7220788,-79.4375067
M7A,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.659659,-79.3903399
M9A,M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.6794838,-79.5389092
M1B,M1B,Scarborough,"Malvern, Rouge",43.8091955,-79.2217008
M3B,M3B,North York,Don Mills,43.775347,-79.3459439
M4B,M4B,East York,"Parkview Hill, Woodbine Gardens",43.7062977,-79.3219073
M5B,M5B,Downtown Toronto,"Garden District, Ryerson",43.6564995,-79.3771141
M6B,M6B,North York,Glencairn,43.7087117,-79.4406853
M9B,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6631995,-79.5685684
M1C,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7802711,-79.1304992
M3C,M3C,North York,Don Mills,43.775347,-79.3459439
M4C,M4C,East York,Woodbine Heights,43.69992,-79.319279
M5C,M5C,Downtown Toronto,St. James Town,43.6694032,-79.3727041
M6C,M6C,York,Humewood-Cedarvale,43.6896191,-79.479188
M9C,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6622732,-79.5765162
M1E,M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7552251,-79.1982293
M4E,M4E,East Toronto,The Beaches,43.6710244,-79.296712
M5E,M5E,Downtown Toronto,Berczy Park,43.64798435,-79.37539591138858
M6E,M6E,York,Caledonia-Fairbanks,43.6896191,-79.479188
M1G,M1G,Scarborough,Woburn,43.7598243,-79.2252908
M4G,M4G,East York,Leaside,43.7047983,-79.3680904
M5G,M5G,Downtown Toronto,Central Bay Street,43.6561192,-79.38467
M6G,M6G,Downtown Toronto,Christie,43.6641106,-79.4184051
M1H,M1H,Scarborough,Cedarbrae,43.75646655,-79.22669244258802
M2H,M2H,North York,Hillcrest Village,43.6816953,-79.4257118
M3H,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.6655189,-79.4119373
M4H,M4H,East York,Thorncliffe Park,43.704553,-79.3454074
M5H,M5H,Downtown Toronto,"Richmond, Adelaide, King",43.6485875,-79.3913729
M6H,M6H,West Toronto,"Dufferin, Dovercourt Village",43.6602019,-79.4357191
M1J,M1J,Scarborough,Scarborough Village,43.7437422,-79.2116324
M2J,M2J,North York,"Fairview, Henry Farm, Oriole",43.777758500000004,-79.34429375180316
M3J,M3J,North York,"Northwood Park, York University",43.7541351,-79.50448
M4J,M4J,East York,"East Toronto, Broadview North (Old East York)",43.6534817,-79.3839347
M5J,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6400801,-79.3801495
M6J,M6J,West Toronto,"Little Portugal, Trinity",43.64741325,-79.43111632546047
M1K,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.724878,-79.2539688
M2K,M2K,North York,Bayview Village,43.7691966,-79.3766617
M3K,M3K,North York,Downsview,43.7492988,-79.462248
M4K,M4K,East Toronto,"The Danforth West, Riverdale",43.6864333,-79.3003555
M5K,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6473768,-79.3813719429129
M6K,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6509173,-79.4400216
M1L,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.7278414,-79.2876217
