,PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
82,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.796409499999996,-79.29779509999999,0,Park,Gas Station,Yoga Studio,Egyptian Restaurant,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
95,M1X,Scarborough,Upper Rouge,43.8049304,-79.1658374,0,Fast Food Restaurant,Park,Yoga Studio,Egyptian Restaurant,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
34,M3J,North York,"Northwood Park, York University",43.7541351,-79.50448,0,Park,Middle Eastern Restaurant,Baseball Field,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Ethiopian Restaurant
101,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.649826000000004,-79.49433379999999,0,Park,American Restaurant,Spa,River,Event Space,Metro Station,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Ethiopian Restaurant
17,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6622732,-79.5765162,0,Park,Yoga Studio,Dive Bar,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
77,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6995391,-79.5563459,0,Park,Yoga Studio,Dive Bar,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
6,M1B,Scarborough,"Malvern, Rouge",43.8091955,-79.2217008,1,Fast Food Restaurant,Pizza Place,Pharmacy,Grocery Store,Sandwich Place,Bubble Tea Shop,Park,Skating Rink,Gym / Fitness Center,Doctor's Office
22,M1G,Scarborough,Woburn,43.7598243,-79.2252908,1,Fast Food Restaurant,Coffee Shop,Discount Store,Bank,Pizza Place,Big Box Store,Beer Store,Sandwich Place,Department Store,Toy / Game Store
26,M1H,Scarborough,Cedarbrae,43.75646655,-79.22669244258802,1,Fast Food Restaurant,Coffee Shop,Grocery Store,Bank,Sandwich Place,Discount Store,Furniture / Home Store,Big Box Store,Liquor Store,Department Store
32,M1J,Scarborough,Scarborough Village,43.7437422,-79.2116324,1,Coffee Shop,Fast Food Restaurant,Pharmacy,Discount Store,Pub,Chinese Restaurant,Shopping Mall,Gym,Yoga Studio,Dumpling Restaurant
