,PostalCode,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,M3A,Parkwoods,43.7587999,-79.32019659999999,Allwyn's Bakery,43.75984035203157,-79.32471879917513,Caribbean Restaurant
1,M3A,Parkwoods,43.7587999,-79.32019659999999,LCBO,43.75777384662435,-79.31425673330513,Liquor Store
2,M3A,Parkwoods,43.7587999,-79.32019659999999,Shoppers Drug Mart,43.76085733239677,-79.32496051573521,Pharmacy
3,M3A,Parkwoods,43.7587999,-79.32019659999999,Petro-Canada,43.75795,-79.315187,Gas Station
4,M3A,Parkwoods,43.7587999,-79.32019659999999,Pizza Pizza,43.76023098701761,-79.32566642761229,Pizza Place
5,M3A,Parkwoods,43.7587999,-79.32019659999999,TD Canada Trust,43.7575688,-79.3149756,Bank
6,M3A,Parkwoods,43.7587999,-79.32019659999999,Family Food Fair Convenience,43.760619989690674,-79.32445934492416,Convenience Store
7,M3A,Parkwoods,43.7587999,-79.32019659999999,Parkwoods Coin Laundry,43.76038596280906,-79.32489395141602,Laundry Service
8,M3A,Parkwoods,43.7587999,-79.32019659999999,Parkwoods Village Centre,43.760735,-79.324873,Shopping Mall
9,M3A,Parkwoods,43.7587999,-79.32019659999999,Dollarama,43.760341,-79.325519,Discount Store
10,M3A,Parkwoods,43.7587999,-79.32019659999999,La Notre,43.76070416249771,-79.32539551954271,Coffee Shop
11,M3A,Parkwoods,43.7587999,-79.32019659999999,Spicy Chicken House,43.76063939666398,-79.32567060771729,Chinese Restaurant
12,M4A,Victoria Village,43.732658,-79.3111892,Jatujak,43.736207542145884,-79.30766830088342,Thai Restaurant
13,M4A,Victoria Village,43.732658,-79.3111892,Armenian Kitchen,43.73107096414275,-79.30539020048727,Middle Eastern Restaurant
14,M4A,Victoria Village,43.732658,-79.3111892,TTC Bus #24 Victoria Park Ave,43.73519712929972,-79.30697679519653,Bus Line
15,M4A,Victoria Village,43.732658,-79.3111892,Osmow's Authentic Mediterranean Restaurant,43.735943,-79.308014,Mediterranean Restaurant
16,M4A,Victoria Village,43.732658,-79.3111892,Artistic Nails,43.73612,-79.30808,Spa
17,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Regent Park Aquatic Centre,43.6606003130796,-79.36139162915349,Pool
18,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
19,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Daniels Spectrum,43.66013679276432,-79.36180783336452,Performing Arts Venue
20,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Thai To Go,43.663418,-79.36071,Thai Restaurant
21,M5A,"Regent Park, Harbourfront",43.66070560000001,-79.3604569,Paintbox Bistro,43.660050475903624,-79.36285470971839,Restaurant
